title,genre,release_year,runtime,rating,vote_count,director,cast1,cast2,cast3,cast4,overview,gross,poster_link,source,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Science Fiction,Sport,Thriller,TV Movie,War,Western,main_genre
The Baker,"Action, Drama, Crime",2023,100.0,6.476,82,Jonathan Sobol,Ron Perlman,Elias Koteas,Harvey Keitel,Joel David Moore,"A quiet, stoic man, lives a monk-like existence in self-imposed exile. When his estranged son is killed in a drug deal gone bad, he is left to look after a granddaughter he never knew existed, and he is forced back into a life he tried to put behind him.",0.0,https://image.tmdb.org/t/p/w500/ijzMEf8ZhGiz0f1mb2zeuTVjXj2.jpg,TMDB,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Action
The Palace,"Comedy, Drama",2023,100.0,5.3,152,Roman Polanski,Oliver Masucci,Fanny Ardant,John Cleese,Bronwyn James,A comedy set on New Year’s Eve 1999 in a luxurious hotel in the Swiss Alps where the lives of various guests and those who work for them intersect.,-18279650.0,https://image.tmdb.org/t/p/w500/anfnDmeUuiYJgZ3h57Se0UShaSr.jpg,TMDB,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comedy
Harold and the Purple Crayon,"Adventure, Family, Fantasy, Comedy",2024,90.0,7.0,127,Carlos Saldanha,Zachary Levi,Lil Rel Howery,Zooey Deschanel,Benjamin Bottani,"Inside of his book, adventurous Harold can make anything come to life simply by drawing it. After he grows up and draws himself off the book's pages and into the physical world, Harold finds he has a lot to learn about real life.",-15017213.0,https://image.tmdb.org/t/p/w500/dEsuQOZwdaFAVL26RjgjwGl9j7m.jpg,TMDB,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adventure
The Venture Bros.: Radiant Is the Blood of the Baboon Heart,"Animation, Action, Adventure, Science Fiction",2023,84.0,7.303,71,Christopher McCulloch,Christopher McCulloch,Doc Hammer,James Urbaniak,Michael Sinterniklaas,"A nationwide manhunt for Hank Venture leads to untold dangers and unexpected revelations, while The Monarch is literally out for Dr Venture's blood. An imposing evil from the past reemerges to wreak havoc on the Ventures, The Guild, and even the Monarch marriage—it will take friends and foes alike to restore the Ventures' world to order… or end it once and for all.",0.0,https://image.tmdb.org/t/p/w500/lLXFw6ZylfMf8pKAzAmVc3qDaPW.jpg,TMDB,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Animation
Metalocalypse: Army of the Doomstar,"Animation, Comedy, Music",2023,83.0,6.765,49,Brendon Small,Brendon Small,Tommy Blacha,Victor Brandt,Stephen 'Thundercat' Bruner,"After the heroic rescue of Toki Wartooth, DETHKLOK frontman Nathan Explosion finds himself traumatized in a BRUTAL professional and romantic flat-spin all while he is tasked with fulfilling the prophecy and confronting the ultimate songwriting challenge: write the SONG OF SALVATION and save the planet. Can Nathan Explosion look beyond his brutally damaged ego to save his band, stop the Metalocalypse, and finally face the ultimate evil: Salacia?",0.0,https://image.tmdb.org/t/p/w500/fGc9HKeGKebC1RD7WPt0NYDONTo.jpg,TMDB,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Animation
Pet Sematary: Bloodlines,"Horror, Fantasy",2023,87.0,5.724,335,Lindsey Anderson Beer,Jackson White,Forrest Goodluck,Jack Mulhern,Henry Thomas,"In 1969, young Jud Crandall has dreams of leaving his hometown behind, but soon discovers sinister secrets buried within and is forced to confront a dark family history that forever binds him to Ludlow.",0.0,https://image.tmdb.org/t/p/w500/yqnNLn24shYnZ6kqGpbwuB3NJ0D.jpg,TMDB,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Horror
The Portable Door,"Fantasy, Adventure, Comedy",2023,116.0,6.6,203,Jeffrey Walker,Christoph Waltz,Patrick Gibson,Damon Herriman,Sophie Wilde,"Paul and Sophie, interns at a mysterious London firm, become steadily aware their employers Humphrey and Dennis are anything but conventional – they are disrupting the world of magic by bringing modern corporate strategy to ancient magical practices.",0.0,https://image.tmdb.org/t/p/w500/15XCSwlniUZQOW7vD6tPM5e30wr.jpg,TMDB,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fantasy
The Monkey King,"Animation, Fantasy, Adventure, Family, Comedy",2023,92.0,6.652,276,Anthony Stacchi,Jimmy O. Yang,Bowen Yang,Jolie Hoang-Rappaport,Jo Koy,"A stick-wielding monkey teams with a young girl on an epic quest for immortality, battling demons, dragons, gods — and his own ego — along the way.",0.0,https://image.tmdb.org/t/p/w500/i6ye8ueFhVE5pXatgyRrZ83LBD8.jpg,TMDB,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Animation
First Love,"Romance, Drama",2022,95.0,5.7,129,A.J. Edwards,Hero Fiennes Tiffin,Sydney Park,Diane Kruger,Jeffrey Donovan,"A young man’s difficult entry into adulthood, who experiences the highs and lows of his first love, while dealing with the familial fallout spurred by the financial crisis of 2008.",0.0,https://image.tmdb.org/t/p/w500/hqwSUWQcnd1cxpc6Gdx1X3t5v2O.jpg,TMDB,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Romance
Gunfight at Rio Bravo,"Western, Action",2023,80.0,6.561,66,Joe Cornet,Alexander Nevsky,Olivier Gruner,Joe Cornet,Matthias Hues,"When mysterious Russian gunslinger Ivan Turchin rides into a small Texas town, he runs afoul of a bloodthirsty outlaw gang known as The Hellhounds. Outmanned and outgunned, the town must put their trust in Turchin to protect them from annihilation at the hands of the bandits. The gunslinger finds allies in the form of Marshal Austin Carter and Sheriff Vernon Kelly, and together the three must make a desperate stand against impossible and violent odds.",0.0,https://image.tmdb.org/t/p/w500/92hYmHw1XpMEF7yZUzjOzcO4zmC.jpg,TMDB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Western
