title,genre,release_year,runtime,rating,vote_count,director,cast1,cast2,cast3,cast4,overview,gross,poster_link,source,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Science Fiction,Sport,Thriller,TV Movie,War,Western,main_genre
The Losers,"Action, Adventure, Crime, Mystery, Thriller",2010,97.0,6.268,1786,Sylvain White,Jeffrey Dean Morgan,Zoe Saldaña,Chris Evans,Idris Elba,"On a mission deep in the Bolivian jungle, a team of elite commandos finds itself on the receiving end of a lethal betrayal. Now presumed dead, the men join forces with a mysterious operative named Aisha to hunt down their enemy and even the score.",-1420000.0,https://image.tmdb.org/t/p/w500/e5oD3fuQpjZ8Po6WNW0VkUJmW52.jpg,TMDB,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Action
The Babysitter,"Drama, Thriller",1995,90.0,5.201,157,Guy Ferland,Alicia Silverstone,Jeremy London,J.T. Walsh,Nicky Katt,"Jennifer (Alicia Silverstone) is a lovely teen who has been hired to baby-sit the kids of Harry Tucker (J.T. Walsh) and his wife, Dolly (Lee Garlington). The Tuckers go to a party and proceed to get inebriated, with Mr. Tucker fantasizing about his beautiful baby sitter. Meanwhile, Jack (Jeremy London), her boyfriend, and Mark (Nicky Katt), another guy interested in her, decide to spy on Jennifer at the Tucker house, with each young man also fixated on her.",0.0,https://image.tmdb.org/t/p/w500/wOv6HKiKTcDiyZRXPOsjm2JhVZV.jpg,TMDB,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Drama
The Human Centipede (First Sequence),Horror,2009,91.0,5.242,2138,Tom Six,Dieter Laser,Ashley C. Williams,Ashlynn Yennie,Akihiro Kitamura,"During a stopover in Germany in the middle of a carefree road trip through Europe, two American girls find themselves alone at night when their car breaks down in the woods. Searching for help at a nearby villa, they are wooed into the clutches of a deranged retired surgeon, who has a very disturbed vision.",-1747793.0,https://image.tmdb.org/t/p/w500/gMtjxIkEi0hnTV5lPHbgeZ4ZpUZ.jpg,TMDB,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Horror
Conan the Barbarian,"Adventure, Fantasy, Action",2011,113.0,5.301,1831,Marcus Nispel,Jason Momoa,Stephen Lang,Rachel Nichols,Ron Perlman,"A quest that begins as a personal vendetta for the fierce Cimmerian warrior soon turns into an epic battle against hulking rivals, horrific monsters, and impossible odds, as Conan realizes he is the only hope of saving the great nations of Hyboria from an encroaching reign of supernatural evil.",-26476717.0,https://image.tmdb.org/t/p/w500/vR6PzXsOfewD1kei8gMbepvwWC6.jpg,TMDB,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adventure
Undisputed III: Redemption,"Action, Thriller",2010,96.0,7.5,885,Isaac Florentine,Scott Adkins,Mykel Shannon Jenkins,Mark Ivanir,Hristo Shopov,"Russian inmate Boyka, now severely hobbled by the knee injury suffered at the end of Undisputed 2. No longer the feared prison fighter he was, he has declined so far that he is now good only for cleaning toilets. But when a new prison fight tournament begins - an international affair, matching the best fighters from prisons around the globe, enticing them with the promise of freedom for the winner - Boyka must reclaim his dignity and fight for his position in the tournament.",-2717452.0,https://image.tmdb.org/t/p/w500/g8KB77SPA7SyU8eid6TAEpt9skU.jpg,TMDB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Action
The Poughkeepsie Tapes,"Horror, Mystery, Crime, Thriller",2007,81.0,6.577,610,John Erick Dowdle,Stacy Chbosky,Ben Messmer,Lou George,Ivar Brogger,"When hundreds of videotapes showing torture, murder and dismemberment are found in an abandoned house, they reveal a serial killer's decade-long reign of terror and become the most disturbing collection of evidence homicide detectives have ever seen.",0.0,https://image.tmdb.org/t/p/w500/8ppkhu3pO3fnXr05YeE7ryKloVd.jpg,TMDB,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,Horror
16 Wishes,"Fantasy, Drama, Family",2010,90.0,6.295,1299,Peter DeLuise,Debby Ryan,Jean-Luc Bilodeau,Anna Mae Wills,Karissa Tynes,"The story about Abby Jensen, a girl who's been eager to reach her 16th birthday and has kept a secret wish list since she was a little girl. When the Big Day actually arrives, utter disaster strikes, leaving Abby to think her birthday is ruined. But when a mysterious box of magical birthday candles arrives to turn things around, Abby's 16 Wishes start to come true. Her day gets better and better...until she makes one wish that threatens to change everything.",0.0,https://image.tmdb.org/t/p/w500/tO8TZvH83uHtrLnec6f684xfzOB.jpg,TMDB,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fantasy
Jimmy Timmy Power Hour,"Animation, Comedy, Family, Fantasy, TV Movie, Science Fiction",2004,50.0,6.8,64,Keith Alcorn,Debi Derryberry,Tara Strong,Megan Cavanagh,Mark DeCarlo,"Mayhem reigns supreme in the animated kingdom as whiz kid Jimmy Neutron and Timmy from ""The Fairly Oddparents"" swap places in each other's worlds.",0.0,https://image.tmdb.org/t/p/w500/4wySdK8ZV3pnvnMPMHatINoWcim.jpg,TMDB,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Animation
Tom and Jerry: The Fast and the Furry,"Animation, Comedy, Family",2005,75.0,7.0,282,Bill Kopp,Charlie Adler,Jeff Bennett,John DiMaggio,Jess Harnell,"After being evicted from their old house by Tom's owner for causing major damage, cat and mouse Tom and Jerry enter a race entitled the ""Fabulous Super Race"" to win a mansion.",0.0,https://image.tmdb.org/t/p/w500/4pQhh5bU1KcUeXqPOteWsCkNZPK.jpg,TMDB,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Animation
I Spit on Your Grave,"Thriller, Crime, Horror",2010,103.0,6.509,2234,Steven R. Monroe,Sarah Butler,Jeff Branson,Tracey Walter,Andrew Howard,"A beautiful woman from the city, Jennifer Hills, rents an isolated cabin in the country to write her latest novel. Soon, a group of local lowlifes subject her to a nightmare of degradation, rape, and violence.",-1427191.0,https://image.tmdb.org/t/p/w500/4VZ9eqel8Fsp54KMnesr3xIc67N.jpg,TMDB,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Thriller
Tinker Bell and the Great Fairy Rescue,"Animation, Adventure, Family, Fantasy",2010,76.0,6.723,913,Bradley Raymond,Mae Whitman,Lauren Mote,Michael Sheen,Pamela Adlon,"During a summer stay on the mainland, Tinker Bell is accidentally discovered while investigating a little girl's fairy house. As the other fairies, led by the brash Vidia, launch a daring rescue in the middle of a fierce storm, Tink develops a special bond with the lonely, little girl.",0.0,https://image.tmdb.org/t/p/w500/fFZGJQU2LcViBC5SAwYrxHRvBW9.jpg,TMDB,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Animation
Barbie: A Fashion Fairytale,"Family, Animation",2010,79.0,7.215,748,William Lau,Diana Kaarina,Adrian Petriw,Tabitha St. Germain,Patricia Drake,"Join Barbie in a colourful, modern-day fairytale filled with fashion, friends and fun! Barbie and her dog Sequin jet off to visit her Aunt's amazing fashion house in Paris, and much to her surprise it's about to be shut down forever. After she discovers three enchanting Flairies with sparkle-magic powers, Barbie comes up with a brilliant idea to save the business. She even inspires Alice, a shy fashion designer, and together they create a dazzling runway fashion show. Barbie shows that magic happens when you believe in yourself.",0.0,https://image.tmdb.org/t/p/w500/bFnf8f8DXdCANQ7Y62djgubhh4P.jpg,TMDB,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Family
Mirrors 2,"Horror, Mystery, Fantasy",2010,86.0,5.543,399,Víctor García,Nick Stahl,William Katt,Emmanuelle Vaugier,Lawrence Turner,"When Max, who is recovering from a traumatic accident, takes a job as a nighttime security guard, he begins to see visions of a young mysterious woman in the store's mirror.",0.0,https://image.tmdb.org/t/p/w500/gDr5TaM129kUNwXkUUZ7Cha2CNn.jpg,TMDB,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Horror
Incendies,"Drama, War, Mystery",2010,131.0,8.105,2664,Denis Villeneuve,Lubna Azabal,Mélissa Désormeaux-Poulin,Maxim Gaudette,Rémy Girard,"A mother's last wishes send twins Jeanne and Simon on a journey to Middle East in search of their tangled roots. Adapted from Wajdi Mouawad's acclaimed play, Incendies tells the powerful and moving tale of two young adults' voyage to the core of deep-rooted hatred, never-ending wars and enduring love.",-11341.0,https://image.tmdb.org/t/p/w500/yDNrRBVewTdwyCxcg4ULuyHfHot.jpg,TMDB,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Drama
Drive Angry,"Fantasy, Thriller, Action, Crime",2011,104.0,5.52,1828,Patrick Lussier,Nicolas Cage,Amber Heard,William Fichtner,Billy Burke,"Milton is a hardened felon who has broken out of Hell, intent on finding the vicious cult who brutally murdered his daughter and kidnapped her baby. He joins forces with a sexy, tough-as-nails waitress, who's also seeking redemption of her own. Caught in a deadly race against time, Milton has three days to avoid capture, avenge his daughter's death, and save her baby before she's mercilessly sacrificed by the cult.",-9090091.0,https://image.tmdb.org/t/p/w500/g0hQNqLkPZC5wOnNhzUH0KvPda4.jpg,TMDB,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Fantasy
Grave Encounters,"Thriller, Horror",2011,93.0,6.284,1447,Stuart Ortiz,Sean Rogerson,Ashleigh Gryzko,Merwin Mondesir,Mackenzie Gray,A crew from a paranormal reality television show lock themselves in a haunted psychiatric hospital. They search for evidence of paranormal activity as they shoot what ends up becoming their final episode.,-1000000.0,https://image.tmdb.org/t/p/w500/8vnsB3Rg9Gb91UOaecXRb7dYB37.jpg,TMDB,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Thriller
Mean Girls 2,Comedy,2011,96.0,5.213,1218,Melanie Mayron,Meaghan Jette Martin,Jennifer Stone,Maiara Walsh,Nicole Gale Anderson,"Confident senior Jo begins the new school year by breaking her own cardinal rule: don't get involved in girl drama. but when she sees timid Abby preyed upon by Queen Bee Mandi and her minions, she takes sides in a viciously funny girl-world-war that turns North Shore High School upside down.",0.0,https://image.tmdb.org/t/p/w500/34zKHT98ZgSCz6ag1ZNBul7f1Wu.jpg,TMDB,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comedy
Death Race 2,"Action, Thriller, Science Fiction",2010,100.0,5.826,1075,Roel Reiné,Luke Goss,Lauren Cohan,Sean Bean,Danny Trejo,"In the world's most dangerous prison, a new game is born: Death Race. The rules of this adrenaline-fueled blood sport are simple, drive or die. When repentant convict Carl Lucas discovers there's a price on his head, his only hope is to survive a twisted race against an army of hardened criminals and tricked-out cars.",-7000000.0,https://image.tmdb.org/t/p/w500/80mBFNVvak2bA9TJN1MD0yM7Lfi.jpg,TMDB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Action
S.W.A.T.: Firefight,"Action, Crime, Thriller",2011,89.0,5.676,356,Benny Boom,Gabriel Macht,Robert Patrick,Carly Pope,Giancarlo Esposito,"Los Angeles S.W.A.T. officer, Lt. Paul Cutler, is sent to train the Detroit S.W.A.T. team on new anti-terrorism and homeland security techniques. Cutler has a hard time settling into his assignment as he locks horns with his new captain and encounters resistance from the team he must lead. Cutler begins to adjust to his new assignment, starting a budding romance with police psychologist Kim Byers along the way. Unexpectedly, a routine hostage call turns deadly, and a relentless ex-government agent named Walter Hatch vows revenge on Cutler and the entire S.W.A.T. team for killing the woman he loves. Cutler must use his considerable S.W.A.T. training and knowledge to save his teammates and defeat a trained killer.",-8000000.0,https://image.tmdb.org/t/p/w500/hDeBVLKDeyavwHRPy8z5yBynNj4.jpg,TMDB,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Action
The Perfect Game,"Drama, Family",2009,118.0,7.013,153,William Dear,Clifton Collins Jr.,Cheech Marin,Moisés Arias,Emilie de Ravin,"Based on a true story, a group of boys from Monterrey, Mexico who become the first non-U.S. team to win the Little League World Series.",-8621007.0,https://image.tmdb.org/t/p/w500/kwn02B0AyQYXzftAo9StX8JD2JY.jpg,TMDB,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Drama
Pride and Prejudice and Zombies,"Romance, Horror, Comedy, Thriller",2016,108.0,6.147,2138,Burr Steers,Lily James,Sam Riley,Jack Huston,Bella Heathcote,"A zombie outbreak has fallen upon the land in this reimagining of Jane Austen's classic tale of the tangled relationships between lovers from different social classes in 19th century England. Feisty heroine Elizabeth Bennet is a master of martial arts and weaponry and the handsome Mr. Darcy is a fierce zombie killer, yet the epitome of upper class prejudice. As the zombie outbreak intensifies, they must swallow their pride and join forces on the blood-soaked battlefield in order to conquer the undead once and for all.",-11542506.0,https://image.tmdb.org/t/p/w500/jsJlOhVHiz1xXr36616EI8tJ4b2.jpg,TMDB,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,Romance
Warrior,"Drama, Action",2011,140.0,7.8,4471,Gavin O'Connor,Joel Edgerton,Tom Hardy,Nick Nolte,Jennifer Morrison,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament – a path that puts the fighter on a collision course with his estranged, older brother.",-1700000.0,https://image.tmdb.org/t/p/w500/iM8n4nZJPR2abpnyZ36FUgHiRjr.jpg,TMDB,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Drama
The Thing,"Horror, Science Fiction, Mystery",2011,103.0,6.218,2860,Matthijs van Heijningen Jr.,Mary Elizabeth Winstead,Joel Edgerton,Ulrich Thomsen,Eric Christian Olsen,"When paleontologist Kate Lloyd travels to an isolated outpost in Antarctica for the expedition of a lifetime, she joins an international team that unearths a remarkable discovery. Their elation quickly turns to fear as they realize that their experiment has freed a mysterious being from its frozen prison. Paranoia spreads like an epidemic as a creature that can mimic anything it touches will pit human against human as it tries to survive and flourish in this spine-tingling thriller.",-3494713.0,https://image.tmdb.org/t/p/w500/dmn2nVo8h7LMnk694JxCRIwK06p.jpg,TMDB,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,Horror
Stepfather 3,"Horror, Thriller, TV Movie",1992,110.0,5.3,39,Guy Magar,Robert Wightman,Priscilla Barnes,Season Hubley,David Tom,"After escaping a Puget Sound institution, ""Stepfather"" Gene Clifford alters his appearance with plastic surgery and takes on another new identity: Keith Grant. Moving to Deer View, California, Keith falls for a divorced school principal, arousing the suspicions of her wheelchair-bound, computer-savvy son.",-1800000.0,https://image.tmdb.org/t/p/w500/an492xjfS59bRBVTnmFfGy71cNl.jpg,TMDB,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,Horror
American Pie: Revealed,"Documentary, Comedy",2004,213.0,5.984,160,Dave McVeigh,Jason Biggs,Seann William Scott,Alyson Hannigan,Eugene Levy,"Documentary about the making of American Pie (1999), American Pie 2 (2001) and American Wedding (2003).",0.0,https://image.tmdb.org/t/p/w500/zd6vScAUAp3blRMa2ZCsFY2SUNk.jpg,TMDB,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Documentary
Scorned,"Drama, Thriller",1993,100.0,5.1,33,Andrew Stevens,Shannon Tweed,Andrew Stevens,Kim Morgan Greene,Daniel McVicar,A vengeful widow worms her way into the home of the man she holds responsible for her husband's suicide.,0.0,https://image.tmdb.org/t/p/w500/latrrZjz5kwVz3Am3ajLaCrJ1LW.jpg,TMDB,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Drama
L.E.T.H.A.L. Ladies: Return to Savage Beach,"Action, Thriller",1998,98.0,6.087,184,Andy Sidaris,Julie Strain,Rodrigo Obregón,Julie K. Smith,Shae Marks,A stolen computer disk contains the location of a hidden tresaure trove. It's up to the sexy ladies of LETHAL (Legion to Ensure Total Harmony and Law) to find the treasure before the bad guys do.,0.0,https://image.tmdb.org/t/p/w500/9z3hdYnDdfWGKD55kdDmshDojeP.jpg,TMDB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Action
Never Back Down 2: The Beatdown,"Drama, Action",2011,99.0,6.456,632,Michael Jai White,Michael Jai White,Gralen Bryant Banks,Alex Meraz,Stacey Asaro,Four fighters from different backgrounds come together to train under an ex MMA rising star and then ultimately have to fight each other and the traitor in their midst.,-3000000.0,https://image.tmdb.org/t/p/w500/ywdD73k13XGho13MSUzQIDxD4iA.jpg,TMDB,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Drama
Superior Firepower: Making 'Aliens',Documentary,2003,185.0,7.5,19,Charles de Lauzirika,James Cameron,David Giler,Gale Anne Hurd,Sigourney Weaver,"This feature-length documentary, made especially for the 2003 Aliens (1986) DVD release, is incredibly informative with all its interviews with both the cast and crew, as well as behind the scenes footage filmed during the making of the film. Every possible element towards what went into making the movie is included here and gives fans an overload of information to fill their brains with.",0.0,https://image.tmdb.org/t/p/w500/dQlfhe0d7wyniZfO8Sfnp5ooZ8q.jpg,TMDB,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Documentary
Wrong Turn 4: Bloody Beginnings,"Horror, Thriller",2011,93.0,5.715,1071,Declan O'Brien,Jennifer Pudavick,Tenika Davis,Terra Vnesa,Kristen Harris,"A group of friends take refuge in a deserted sanatorium after they are left stranded in a snowstorm. Later, the place becomes a death trap when man-eating cannibals surround them.",-3000000.0,https://image.tmdb.org/t/p/w500/r1JNXwJkKO696NlGTyqkw96yoT9.jpg,TMDB,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Horror
Barbie: Princess Charm School,"Family, Animation, Fantasy",2011,79.0,7.496,792,Ezekiel Norton,Diana Kaarina,Morwenna Banks,Nicole Oliver,Brittney Wilson,"Barbie stars as Blair Willows, a kind-hearted girl who is chosen to attend Princess Charm School: a magical, modern place that teaches dancing, how to have tea parties, and proper princess manners. Blair loves her classes -- as well as the helpful magical sprites and her new friends, Princesses Hadley and Isla. But when royal teacher Dame Devin discovers that Blair looks a lot like the kingdom’s missing princess, she turns Blair’s world upside down to stop her from claiming the throne. Now Blair, Hadley and Delancy must find an enchanted crown to prove Blair’s true identity in this charming and magical princess story!",0.0,https://image.tmdb.org/t/p/w500/lI2jPbssax6XX5vDqB9mTJHGzfH.jpg,TMDB,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Family
Night Patrol,Comedy,1984,87.0,4.365,26,Jackie Kong,Linda Blair,Pat Paulsen,Jaye P. Morgan,Murray Langston,"Melvin White, a neurotic, accident-prone cop who gets demoted to the night shift, secretly moonlights as the Unknown Comic, an anonymous stand-up comedian who performs with a paper bag over his head.  When someone using the same guise commits a string of bar robberies in town, some begin to suspect that White is the culprit.",0.0,https://image.tmdb.org/t/p/w500/hTYkhu0dT09EDbuI0VActNjkuEo.jpg,TMDB,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comedy
A Cinderella Story: Once Upon a Song,"Comedy, Family, Romance, Drama",2011,88.0,6.381,1005,Damon Santostefano,Lucy Hale,Freddie Stroma,Missi Pyle,Megan Park,"In this modern telling of the classic tale, aspiring singer Katie Gibbs falls for the new boy at her performing arts high school. But Katie's wicked stepmother and stepsister are scheming to crush her dream before she can sing her way into his heart.",0.0,https://image.tmdb.org/t/p/w500/awuuwPA8Hy9c5EH04xwkEXOSYiL.jpg,TMDB,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Comedy
Secret of the Wings,"Animation, Family, Fantasy, Adventure",2012,75.0,7.227,1211,Peggy Holmes,Mae Whitman,Lucy Hale,Timothy Dalton,Jeff Bennett,Tinkerbell wanders into the forbidden Winter woods and meets Periwinkle. Together they learn the secret of their wings and try to unite the warm fairies and the winter fairies to help Pixie Hollow.,0.0,https://image.tmdb.org/t/p/w500/bnbzEKX9LgDuJ0VBGm5d60mKDaR.jpg,TMDB,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Animation
Justice League: Doom,"Action, Animation, Science Fiction",2012,77.0,7.402,846,Lauren Montgomery,Kevin Conroy,Tim Daly,Susan Eisenberg,Michael Rosenbaum,"An adaptation of Mark Waid's ""Tower of Babel"" story from the JLA comic. Vandal Savage steals confidential files Batman has compiled on the members of the Justice League, and learns all their weaknesses.",0.0,https://image.tmdb.org/t/p/w500/seCbcjdZYUl8SRKjeWfyi2ngzFj.jpg,TMDB,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Action
Hawaiian Vacation,"Animation, Family, Comedy",2011,6.0,6.97,654,Gary Rydstrom,Tom Hanks,Tim Allen,Joan Cusack,Don Rickles,The toys throw Ken and Barbie a Hawaiian vacation in Bonnie's room.,0.0,https://image.tmdb.org/t/p/w500/tByW10AkjWG0DtZwN2E2trT88DD.jpg,TMDB,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Animation
The Smurfs: A Christmas Carol,"Animation, Comedy, Family",2011,22.0,6.7,251,Troy Quane,Jack Angel,Fred Armisen,Hank Azaria,Gary Basaraba,"When Grouchy Smurf behaves badly to everyone and refuses to celebrate Christmas, the Smurfs of Christmas Past, Present and Future teach him to appreciate Christmas.",0.0,https://image.tmdb.org/t/p/w500/1gjT65lS29BbclJlmGvtwnT7hya.jpg,TMDB,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Animation
Puss in Boots: The Three Diablos,"Adventure, Animation, Comedy, Family",2012,13.0,6.532,469,Raman Hui,Antonio Banderas,Gilles Marini,Charlotte Newhouse,Chris Miller,"Puss in Boots is on a mission to recover the Princess' stolen ruby from the notorious French thief, Whisperer. Reluctantly accompanied by three little kittens, Three Diablos, Puss must tame them before they endanger the mission.",0.0,https://image.tmdb.org/t/p/w500/uYvCqvv5NvZGiVNT6OdyTUAD5G5.jpg,TMDB,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adventure
That's My Boy,"Comedy, Drama",2012,116.0,5.808,1917,Sean Anders,Adam Sandler,Andy Samberg,Leighton Meester,Vanilla Ice,"While in his teens, Donny fathered a son, Todd, and raised him as a single parent up until Todd's 18th birthday. Now, after not seeing each other for years, Todd's world comes crashing down when Donny resurfaces just before Todd's wedding.",-11900000.0,https://image.tmdb.org/t/p/w500/oVCsANNQyw1AjRhQ9edFBM8HVCq.jpg,TMDB,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comedy
Celebrity Sex Tape,Comedy,2012,87.0,4.4,67,Scott Wheeler,Jack Cullison,Jonathan Brett,Colbert Alembert,Howard Cai,"A group of college nerds secretly record a washed up celebrity having sex and post the tape on the internet. When the publicity revives the actress's career, every B-list celebrity, reality show reject, and celebutante in Hollywood want to star in the guys next ""production.""",0.0,https://image.tmdb.org/t/p/w500/3FWSUD1yIvGPmLIXgyOS72MrTrC.jpg,TMDB,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comedy
Emmanuelle in Space 4: Concealed Fantasy,"Science Fiction, Romance",1994,94.0,5.6,13,Kevin Alber,Krista Allen,Paul Michael Robinson,Tiendra Demian,Timothy Di Pri,"As Emmanuelle demonstrates the hidden joys of sexual fantasy to her intergalactic students, the alien's leader is torn between love and jealousy.",0.0,https://image.tmdb.org/t/p/w500/sAgw5T6kCfDJICY6nVeJLacdA3K.jpg,TMDB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Science Fiction
Cockneys vs Zombies,"Comedy, Horror",2012,88.0,5.655,391,Matthias Hoene,Michelle Ryan,Georgia King,Alan Ford,Harry Treadaway,A group of Cockneys arm themselves to rescue their elderly relative and his retirement home friends who are trapped and fighting off a zombie attack during a zombie apocalypse in the East End of London.,0.0,https://image.tmdb.org/t/p/w500/xZPIZb81NSlF1zJhWqne4dKwtxC.jpg,TMDB,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Comedy
Blue Lagoon: The Awakening,"Drama, Adventure, Romance, TV Movie",2012,85.0,6.5,1396,Jake Newsome,Indiana Evans,Brenton Thwaites,Denise Richards,Patrick St. Esprit,Two high school students become stranded on a tropical island and must rely on each other for survival. They learn more about themselves and each other while falling in love.,0.0,https://image.tmdb.org/t/p/w500/ptsBY9Aqo4Mn0V1krI5s8WfFxzW.jpg,TMDB,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Drama
Thriller Night,"Animation, Music, Horror, Comedy",2011,6.0,6.876,93,Sean Bishop,Michael Gough,Dean Edwards,Holly Fields,André Sogliuzzo,"A Shrek parody of Michael Jackson's Thriller song and music video, with Donkey singing.",0.0,https://image.tmdb.org/t/p/w500/mPQei2YUIY0Ljd3O5Wy7LDuvC8S.jpg,TMDB,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Animation
"Batman: The Dark Knight Returns, Part 1","Science Fiction, Action, Animation, Mystery",2012,76.0,7.73,1563,Jay Oliva,Peter Weller,Ariel Winter,David Selby,Wade Williams,"Batman has not been seen for ten years. A new breed of criminal ravages Gotham City, forcing 55-year-old Bruce Wayne back into the cape and cowl. But, does he still have what it takes to fight crime in a new era?",-3500000.0,https://image.tmdb.org/t/p/w500/kkjTbwV1Xnj8wBL52PjOcXzTbnb.jpg,TMDB,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Science Fiction
Wrong Turn 5: Bloodlines,"Horror, Thriller",2012,91.0,5.414,920,Declan O'Brien,Camilla Arfwedson,Doug Bradley,Borisa Tyutyundzhieva,Roxanne McKee,"A small West Virginia town is hosting the legendary Mountain Man Festival on Halloween, where throngs of costumed party goers gather for a wild night of music and mischief. But an inbred family of hillbilly cannibals kill the fun when they trick and treat themselves to a group of visiting college students.",-3000000.0,https://image.tmdb.org/t/p/w500/nALE9wbgwIYKuwdhANoLbxasw7z.jpg,TMDB,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Horror
"McBride: It's Murder, Madam","TV Movie, Mystery",2005,120.0,6.6,5,Kevin Connor,John Larroquette,Marta DuBois,Matt Lutz,Linda Gray,Mystery drama starring John Larroquette and Marta Dubois. A cop-turned-lawyer helps an aspiring actress accused of killing a woman running a dating service.,0.0,https://image.tmdb.org/t/p/w500/mjIg65C6i1Cbzk1BsiSpoxzYoeQ.jpg,TMDB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,TV Movie
