,movie_id,title,genre,release_year,runtime,rating,vote_count,director,cast,overview,gross,poster_link
420,7485,Shooter,"['Drama', 'Action', 'Thriller']",2007,124,7.118,4833,Antoine Fuqua,"['Mark Wahlberg', 'Michael Peña', 'Danny Glover', 'Ned Beatty']","A top Marine sniper, Bob Lee Swagger, leaves the military after a mission goes horribly awry and disappears, living in seclusion. He is coaxed back into service after a high-profile government official convinces him to help thwart a plot to kill the President of the United States. Ultimately double-crossed and framed for the attempt, Swagger becomes the target of a nationwide manhunt. He goes on the run to track the real killer and find out who exactly set him up, and why, eventually seeking revenge against some of the most powerful and corrupt leaders in the free world.",34700000,/2aWGxo1E5polpBjPvtBRkWp7qaS.jpg
421,7518,Over the Hedge,"['Family', 'Comedy', 'Animation']",2006,83,6.56,4396,Karey Kirkpatrick,"['Bruce Willis', 'Garry Shandling', 'Steve Carell', 'Wanda Sykes']","A scheming raccoon fools a mismatched family of forest creatures into helping him repay a debt of food, by invading the new suburban sprawl that popped up while they were hibernating – and learns a lesson about family himself.",263397247,/jtZnymorbnHY7mOiBXR14ZDJseM.jpg
422,7980,The Lovely Bones,"['Fantasy', 'Drama']",2009,136,7.075,4532,Peter Jackson,"['Saoirse Ronan', 'Mark Wahlberg', 'Rachel Weisz', 'Susan Sarandon']","After being brutally murdered, 14-year-old Susie Salmon watches from heaven over her grief-stricken family -- and her killer. As she observes their daily lives, she must balance her thirst for revenge with her desire for her family to heal.",28600000,/sn0iDphRxQ7I6aLd9igIgACITak.jpg
423,8055,The Reader,"['Drama', 'Romance']",2008,124,7.47,3020,Stephen Daldry,"['Kate Winslet', 'Ralph Fiennes', 'David Kross', 'Lena Olin']","The story of Michael Berg, a German lawyer who, as a teenager in the late 1950s, had an affair with an older woman, Hanna, who then disappeared only to resurface years later as one of the defendants in a war crimes trial stemming from her actions as a concentration camp guard late in the war. He alone realizes that Hanna is illiterate and may be concealing that fact at the expense of her freedom.",76902486,/r0WURbmnhgKeBpHcpDULBgRedQM.jpg
424,8204,The Spiderwick Chronicles,"['Family', 'Adventure', 'Fantasy', 'Drama']",2008,95,6.6,2568,Mark Waters,"['Freddie Highmore', 'Sarah Bolger', 'David Strathairn', 'Mary-Louise Parker']","Upon moving into the run-down Spiderwick Estate with their mother, twin brothers Jared and Simon Grace, along with their sister Mallory, find themselves pulled into an alternate world full of faeries and other creatures.",74200000,/y0zqUbwK8FWIkelnlmnRkntz9F8.jpg
425,8273,American Wedding,"['Comedy', 'Romance']",2003,103,6.218,4013,Jesse Dylan,"['Jason Biggs', 'Alyson Hannigan', 'Seann William Scott', 'Eddie Kaye Thomas']","With high school a distant memory, Jim and Michelle are getting married — and in a hurry, since Jim's grandmother is sick and wants to see him walk down the aisle — prompting Stifler to throw the ultimate bachelor party. And Jim's dad is reliable as ever, doling out advice no one wants to hear.",176449203,/pCO3lJv2PzPkJty29APxCVSjyoE.jpg
426,8274,American Pie Presents: Band Camp,['Comedy'],2005,94,5.473,2041,Steve Rash,"['Tad Hilgenbrink', 'Arielle Kebbel', 'Jason Earles', 'Crystle Lightning']","Everyone has 'moved on', except for Sherman and Jim Levenstein's still understanding father. Little Matt Stiffler wants to join his older brother Steve's business and, after everything Matt has heard from Jim's band-geek wife, he plans to go back to band camp and make a video of his own.",-7000000,/6BgKeWEGROpWwEWvpw7vwfTCr9C.jpg
427,8275,American Pie Presents: The Naked Mile,['Comedy'],2006,97,5.51,2008,Joe Nussbaum,"['John White', 'Jessy Schram', 'Steve Talley', 'Christopher McDonald']","When Erik Stifler realizes that he's the only Stifler family member who might graduate high school a virgin, he decides to live up to his legacy. After some well-meaning advice from Jim's dad, Erik's ready to take his chances at the annual and infamous Naked Mile race, where his devoted friends and some uninhibited sorority girls will create the most outrageous weekend ever.",0,/sreeL5kKj47oofEGVtDKTAcUDY6.jpg
428,8277,American Pie Presents: Beta House,['Comedy'],2007,89,5.662,1858,Andrew Waller,"['John White', 'Steve Talley', 'Christopher McDonald', 'Eugene Levy']","Erik, Ryan, and Cooze start college and pledge the Beta House fraternity, presided over by none other than legendary Dwight Stifler. But chaos ensues when a fraternity of geeks threatens to stop the debauchery and the Betas have to make a stand for their right to party.",8610260,/j7eGbwVb9hTaRFWMlSa7C1OYp3T.jpg
429,8292,Four Brothers,"['Action', 'Crime']",2005,109,6.762,2083,John Singleton,"['Mark Wahlberg', 'Tyrese Gibson', 'André 3000', 'Garrett Hedlund']",Four adopted brothers return to their Detroit hometown when their mother is murdered and vow to exact revenge on the killers.,47374674,/8cO39cnWSZQi2ncPG5TxL3YRzKc.jpg
430,8328,Step Up 2: The Streets,"['Music', 'Drama', 'Romance']",2008,98,6.693,2259,Jon M. Chu,"['Briana Evigan', 'Robert Hoffman', 'Will Kemp', 'Cassie Ventura']","When rebellious street dancer Andie lands at the elite Maryland School of the Arts, she finds herself fighting to fit in while also trying to hold onto her old life. When she joins forces with the schools hottest dancer, Chase, to form a crew of classmate outcasts to compete in Baltimore s underground dance battle The Streets.",127816700,/vYdlRTvA5fneB88NchV3sirzCE1.jpg
